feature_idx,feature_name,target,feature_type,pearson_r,pearson_p,spearman_r,spearman_p,n_valid,pearson_significant,spearman_significant
70,left_first_finger_cmc_y,angle,raw_std,-0.20223465066732965,0.00015566164353039838,-0.35778408367544434,7.411994371909083e-12,345,True,True
70,left_first_finger_cmc_y,depth,raw_mean,0.01627491885150198,0.7632497462193992,0.026939193284050172,0.6180274959646653,345,False,False
70,left_first_finger_cmc_y,depth,raw_std,0.003836622924271317,0.9433947775813638,-0.0698505192433629,0.19556577070781622,345,False,False
70,left_first_finger_cmc_y,left_right,raw_mean,0.051615492440149166,0.3391363465413377,0.013833422500918484,0.7979321844078326,345,False,False
70,left_first_finger_cmc_y,left_right,raw_std,0.09916406554479909,0.06580597396440992,0.07283755606061701,0.17708623251286496,345,False,False
71,left_first_finger_cmc_z,angle,raw_mean,-0.03856191656617978,0.47527545795268294,-0.06452054316167026,0.23196501123036067,345,False,False
71,left_first_finger_cmc_z,angle,raw_std,-0.31080378209540366,3.663863926568564e-09,-0.4291639826932707,6.826814771218412e-17,345,True,True
71,left_first_finger_cmc_z,depth,raw_mean,0.1320965045707735,0.01407090125916897,0.18325112579156458,0.0006253047592324094,345,True,True
71,left_first_finger_cmc_z,depth,raw_std,0.1663799561194294,0.0019300170968834603,0.1817865144045918,0.0006923506727334892,345,True,True
71,left_first_finger_cmc_z,left_right,raw_mean,0.012246451899057036,0.8206953553800662,-0.011557149263352405,0.8306308155518001,345,False,False
71,left_first_finger_cmc_z,left_right,raw_std,-0.01418008932301695,0.7929816340917594,0.004284716832677753,0.9367967000992797,345,False,False
72,left_first_finger_mcp_x,angle,raw_mean,0.2732821936164444,2.5221901082813143e-07,0.3587022790299849,6.496120128057637e-12,345,True,True
72,left_first_finger_mcp_x,angle,raw_std,-0.20877361307148234,9.350310901813506e-05,-0.14790426366943113,0.005916329575400731,345,True,True
72,left_first_finger_mcp_x,depth,raw_mean,-0.001320615375271908,0.98050137957806,0.029972424177608686,0.5790196397995413,345,False,False
72,left_first_finger_mcp_x,depth,raw_std,0.08591757098970124,0.1111594688561473,0.036942908294242884,0.4940211130191907,345,False,False
72,left_first_finger_mcp_x,left_right,raw_mean,-0.05323117635352384,0.3242135988608717,-0.004654829632335807,0.9313501130221329,345,False,False
72,left_first_finger_mcp_x,left_right,raw_std,-0.03379551512330365,0.5315613243641746,-0.10713983827448377,0.04675210472672068,345,False,False
73,left_first_finger_mcp_y,angle,raw_mean,0.15849041618086268,0.0031590290524029048,0.16090832957703768,0.0027225017413634567,345,True,True
73,left_first_finger_mcp_y,angle,raw_std,-0.1812877739484271,0.0007166595700063905,-0.2811999574229473,1.0863088890486186e-07,345,True,True
73,left_first_finger_mcp_y,depth,raw_mean,0.013297073936279033,0.8056073705464989,0.02191074258936724,0.6850764591973678,345,False,False
73,left_first_finger_mcp_y,depth,raw_std,0.0077851793542945205,0.8854367673704047,-0.0623122266941275,0.24836907912879194,345,False,False
73,left_first_finger_mcp_y,left_right,raw_mean,0.052764209591654565,0.3284821781672368,0.018082633052381506,0.7378676856264179,345,False,False
73,left_first_finger_mcp_y,left_right,raw_std,0.09637170918821653,0.07382575775799075,0.05999787108456012,0.26640998927090653,345,False,False
74,left_first_finger_mcp_z,angle,raw_mean,-0.012948645691939882,0.8106034633931448,-0.040876788893935506,0.44916159470826317,345,False,False
74,left_first_finger_mcp_z,angle,raw_std,-0.2984447867023542,1.580548923901332e-08,-0.3976456559361292,1.6152596636706034e-14,345,True,True
74,left_first_finger_mcp_z,depth,raw_mean,0.13217008839461297,0.014016971474086917,0.18481127054542493,0.0005605365373226073,345,True,True
74,left_first_finger_mcp_z,depth,raw_std,0.17814695738700947,0.0008888011050219018,0.18970427131292789,0.00039554582276255104,345,True,True
74,left_first_finger_mcp_z,left_right,raw_mean,0.010454539399496653,0.8465791553678924,-0.013669772151286815,0.8002720086492738,345,False,False
74,left_first_finger_mcp_z,left_right,raw_std,-0.009560454265638563,0.8595577745657977,0.010991751072671418,0.8388005911803752,345,False,False
75,left_first_finger_ip_x,angle,raw_mean,0.2545797530486833,1.6627643788883355e-06,0.3272619784216856,4.696805059983916e-10,345,True,True
75,left_first_finger_ip_x,angle,raw_std,-0.21563691092254947,5.382816986672282e-05,-0.16557704026581546,0.002031276141092969,345,True,True
75,left_first_finger_ip_x,depth,raw_mean,0.0050620725700053285,0.9253608242126028,0.03145696706881513,0.5603573245782835,345,False,False
75,left_first_finger_ip_x,depth,raw_std,0.08034920296334772,0.1363786772643313,0.03665491281800588,0.4973964431887764,345,False,False
75,left_first_finger_ip_x,left_right,raw_mean,-0.05505142912690957,0.30791950119087014,-0.009868116082789686,0.8550872792051973,345,False,False
75,left_first_finger_ip_x,left_right,raw_std,-0.043406264798053276,0.4215769451090184,-0.11613856187485522,0.031032787259149403,345,False,False
76,left_first_finger_ip_y,angle,raw_mean,0.14904152267928356,0.005540827520328433,0.15732351022180252,0.003391637510913088,345,True,True
76,left_first_finger_ip_y,angle,raw_std,-0.15808904095464954,0.0032373522438342425,-0.2042723115526074,0.0001330284428752264,345,True,True
76,left_first_finger_ip_y,depth,raw_mean,0.011378168590062784,0.8332150871095159,0.018154527618477072,0.7368638694454615,345,False,False
76,left_first_finger_ip_y,depth,raw_std,0.006107428997122376,0.910006921816106,-0.0642098407224836,0.2342255383786395,345,False,False
76,left_first_finger_ip_y,left_right,raw_mean,0.050568136495641,0.3490405721335481,0.0166993492488431,0.7572663827010782,345,False,False
76,left_first_finger_ip_y,left_right,raw_std,0.09293198308940881,0.08477969158792921,0.052596345673317065,0.33002546116842424,345,False,False
77,left_first_finger_ip_z,angle,raw_mean,0.0009082257045043458,0.9865895296466147,-0.024663861086095827,0.6480177131272224,345,False,False
77,left_first_finger_ip_z,angle,raw_std,-0.2806757946074919,1.1495496925065016e-07,-0.3627451732478051,3.616132169292953e-12,345,True,True
77,left_first_finger_ip_z,depth,raw_mean,0.13234094115329587,0.013892452988697502,0.184658286647089,0.0005666009269341053,345,True,True
77,left_first_finger_ip_z,depth,raw_std,0.1883527974055558,0.000435905427102522,0.19585153548378875,0.0002521303940896137,345,True,True
77,left_first_finger_ip_z,left_right,raw_mean,0.009641020087383614,0.858386669580765,-0.016545050347761815,0.7594399414991059,345,False,False
77,left_first_finger_ip_z,left_right,raw_std,-0.00670925204317227,0.9011822971072744,0.01537173578745618,0.7760288285579108,345,False,False
78,left_first_finger_distal_x,angle,raw_mean,0.2623157793993034,7.755817167089801e-07,0.3532914432289042,1.4046350703454084e-11,345,True,True
78,left_first_finger_distal_x,angle,raw_std,-0.19307860042537148,0.0003094466782601571,-0.13391347382337576,0.012791285068499296,345,True,True
78,left_first_finger_distal_x,depth,raw_mean,0.01036341509372779,0.8479000906816823,0.031802240184161674,0.5560588279261603,345,False,False
78,left_first_finger_distal_x,depth,raw_std,0.06609186044441406,0.22076903199502282,0.02437148932468296,0.6519142717069271,345,False,False
78,left_first_finger_distal_x,left_right,raw_mean,-0.04855951907926606,0.36854070231547065,0.002168367132619624,0.9679898759873456,345,False,False
78,left_first_finger_distal_x,left_right,raw_std,-0.046588921263362115,0.3883141119425618,-0.10746874625396674,0.04607787904003831,345,False,False
79,left_first_finger_distal_y,angle,raw_mean,0.17158653143178032,0.0013777554382298856,0.17188240056729354,0.001351229553905648,345,True,True
79,left_first_finger_distal_y,angle,raw_std,-0.1397703825252603,0.009336796428507049,-0.1345360757338941,0.012377024068205568,345,True,True
79,left_first_finger_distal_y,depth,raw_mean,0.0156745370023096,0.771737591231232,0.021327738048430852,0.6930256628238194,345,False,False
79,left_first_finger_distal_y,depth,raw_std,0.014314343817019279,0.7910666399680781,-0.04975015917585077,0.3569015784936053,345,False,False
79,left_first_finger_distal_y,left_right,raw_mean,0.052007635690359356,0.3354747304444724,0.01675428900907659,0.7564929242001908,345,False,False
79,left_first_finger_distal_y,left_right,raw_std,0.08934059239242967,0.09757613900986035,0.04386311554194628,0.41670249970233303,345,False,False
80,left_first_finger_distal_z,angle,raw_mean,0.018830515643903374,0.7274475629375806,-0.004734901410548445,0.930172187407484,345,False,False
80,left_first_finger_distal_z,angle,raw_std,-0.27492896377027476,2.121478447565541e-07,-0.346498492555354,3.623176211473555e-11,345,True,True
80,left_first_finger_distal_z,depth,raw_mean,0.13217730541117928,0.014011691897051632,0.1845310192397818,0.0005716921893780109,345,True,True
80,left_first_finger_distal_z,depth,raw_std,0.19989092063047414,0.00018614114486124615,0.20615113625723863,0.00011492978700460741,345,True,True
80,left_first_finger_distal_z,left_right,raw_mean,0.01178333934408619,0.8273675056538361,-0.012073304544076435,0.823188437829363,345,False,False
80,left_first_finger_distal_z,left_right,raw_std,-0.00847535035294307,0.8753598048889045,0.01627736513300715,0.7632152192578951,345,False,False
81,left_second_finger_mcp_x,angle,raw_mean,0.26354370933241583,6.856106257465127e-07,0.35295610612854295,1.4726885766685307e-11,345,True,True
81,left_second_finger_mcp_x,angle,raw_std,-0.1969735468721884,0.00023188972195065541,-0.13144396082415713,0.014557184838756523,345,True,True
