target,config,lopo_mse,vs_baseline
angle,left_elbow_f100,0.1418099373912978,-456.36791593135007
angle,left_elbow_f110,0.12035435261304636,-372.1904654101944
angle,left_elbow_f120,0.05902498822575772,-131.57481267636823
angle,left_elbow_f130,0.0790797265807806,-210.25627314655168
angle,left_elbow_f140,0.1754272406237766,-588.2598642866859
angle,left_elbow_f150,0.14496443935756392,-468.74408446409586
angle,left_elbow_f160,0.07165970216361447,-181.1450303304204
angle,left_elbow_f170,0.0341863215465985,-34.12439792394403
angle,left_elbow_f180,0.029867916186779933,-17.181846263692993
angle,left_shoulder_f100,0.05255970182759201,-106.20932711578091
angle,left_shoulder_f110,0.09254199198554516,-263.07325258217764
angle,left_shoulder_f120,0.14261326319176418,-459.5196323035681
angle,left_shoulder_f130,0.13952173480013544,-447.39053021147004
angle,left_shoulder_f140,0.12140220211679502,-376.30153022930995
angle,left_shoulder_f150,0.10937996166232837,-329.1342513381225
angle,left_shoulder_f160,0.08694577089353503,-241.117401509051
angle,left_shoulder_f170,0.1259001556824105,-393.948509681478
angle,left_shoulder_f180,0.12045995972286855,-372.60479749918744
angle,right_hip_f100,0.07902701869076269,-210.04948242749592
angle,right_hip_f110,0.14568192694496757,-471.5590287554038
angle,right_hip_f120,0.20065151725478128,-687.2231561281019
angle,right_hip_f130,0.20095214711281367,-688.4026278256226
angle,right_hip_f140,0.17070046425434898,-569.715136278835
angle,right_hip_f150,0.09777540296766005,-283.6056779882844
angle,right_hip_f160,0.07179025477770025,-181.65723199381915
angle,right_hip_f170,0.12326344511075278,-383.6038103419705
angle,right_hip_f180,0.12061564874591169,-373.21561772009255
angle,left_hip_f100,0.05978276600085823,-134.54782887838823
angle,left_hip_f110,0.12873361895583135,-405.0651358171434
angle,left_hip_f120,0.19453954049625985,-663.2438227053929
angle,left_hip_f130,0.1753470385420755,-587.9452046382139
angle,left_hip_f140,0.14618961637896055,-473.55086457119467
angle,left_hip_f150,0.08477832902322532,-232.6138005733908
angle,left_hip_f160,0.06233049053441189,-144.54340616426754
angle,left_hip_f170,0.12415045903573481,-387.08386327706626
angle,left_hip_f180,0.11835500992925634,-364.3463739263693
angle,right_knee_f100,0.12491704397537402,-390.0914329375377
angle,right_knee_f110,0.13653647742558844,-435.6783649390712
angle,right_knee_f120,0.1016483241266646,-298.80044581232
angle,right_knee_f130,0.13291799464302897,-421.48184414792934
angle,right_knee_f140,0.10333440972167428,-305.41552474003254
angle,right_knee_f150,0.06926909221245503,-171.76586621259645
angle,right_knee_f160,0.051006620179031285,-100.1160672499601
angle,right_knee_f170,0.09647258955111337,-278.4943042810145
angle,right_knee_f180,0.10073034139715585,-295.19889187700954
angle,right_ankle_f100,0.12003340775180714,-370.9312911459549
angle,right_ankle_f110,0.12838786297216215,-403.7086192034732
angle,right_ankle_f120,0.13329914362259565,-422.9772193474525
angle,right_ankle_f130,0.06456495750333448,-153.30996902711234
angle,right_ankle_f140,0.1012336940985779,-297.17371323734807
angle,right_ankle_f150,0.03932769855686418,-54.295743210740596
angle,right_ankle_f160,0.024801668410970357,2.69474185467946
angle,right_ankle_f170,0.06381831090332749,-150.3806241559072
angle,right_ankle_f180,0.06671880573589078,-161.76023756558016
angle,neck_f100,0.05597576894998076,-119.61170342683387
angle,neck_f110,0.08036718617047839,-215.3074086448313
angle,neck_f120,0.1379847693293264,-441.3604995127544
angle,neck_f130,0.1480261062860194,-480.75603002726507
angle,neck_f140,0.09751872372585213,-282.59863928948397
angle,neck_f150,0.08104790631677071,-217.9781019410289
angle,neck_f160,0.07894748303878002,-209.7374374061817
angle,neck_f170,0.11299522450451761,-343.31813922393934
angle,neck_f180,0.11638469606390435,-356.61617222709265
angle,nose_f100,0.04743956522670668,-86.12131507429748
angle,nose_f110,0.060895578084924344,-138.913763674105
angle,nose_f120,0.09676882085634092,-279.65651898158444
angle,nose_f130,0.11952239634769905,-368.9264221279518
angle,nose_f140,0.10380387393086045,-307.2573901866588
angle,nose_f150,0.09625709287477065,-277.64883859001634
angle,nose_f160,0.09860200903493035,-286.84873065020327
angle,nose_f170,0.12188711134399922,-378.2039916584484
angle,nose_f180,0.10674019993462058,-318.7775812907507
