target,config,alpha,cv_mse,pred_std,n_features
depth,right_shoulder_f140,10.0,0.011037975890820206,0.07277921317116466,3
depth,right_shoulder_f150,1.0,0.00968977935533171,0.08751468851441038,3
depth,right_shoulder_f150,5.0,0.009689579653234035,0.08264069404965718,3
depth,right_shoulder_f150,10.0,0.009753642862147778,0.07751364101382562,3
depth,right_shoulder_f160,1.0,0.012748338298635729,0.07904602521264358,3
depth,right_shoulder_f160,5.0,0.01261881338720204,0.07478582857399513,3
depth,right_shoulder_f160,10.0,0.012537206963572581,0.07034622106267759,3
depth,left_wrist_f100,1.0,0.015720869740654498,0.0623997626104003,3
depth,left_wrist_f100,5.0,0.015085639175289428,0.0547807632026,3
depth,left_wrist_f100,10.0,0.014886741732051983,0.050692384072251996,3
depth,left_wrist_f120,1.0,0.013197431363188432,0.07269881412081346,3
depth,left_wrist_f120,5.0,0.012985183541007517,0.06889059841982524,3
depth,left_wrist_f120,10.0,0.012881239071328057,0.06532863094116477,3
depth,left_wrist_f140,1.0,0.010308160702072503,0.0853068074342051,3
depth,left_wrist_f140,5.0,0.010361775497646242,0.08079477427806236,3
depth,left_wrist_f140,10.0,0.010483133609636054,0.07627972905521567,3
depth,left_wrist_f150,1.0,0.013447270348533593,0.08030458253023919,3
depth,left_wrist_f150,5.0,0.01330523966215375,0.07623741585822802,3
depth,left_wrist_f150,10.0,0.01316937187329368,0.07173038410858502,3
depth,left_wrist_f160,1.0,0.014983460555598783,0.0764941771683932,3
depth,left_wrist_f160,5.0,0.014764206221582556,0.0729337768476621,3
depth,left_wrist_f160,10.0,0.01460585492160387,0.06951226672116606,3
depth,right_hip_f100,1.0,0.014951116904457171,0.059856197804148054,3
depth,right_hip_f100,5.0,0.014846544183923827,0.057025191169547185,3
depth,right_hip_f100,10.0,0.014761597217141958,0.05408897005987605,3
depth,right_hip_f120,1.0,0.01448193015202943,0.06413901789770651,3
depth,right_hip_f120,5.0,0.014370369869003578,0.06112699592432039,3
depth,right_hip_f120,10.0,0.014284161314755886,0.05800312993659644,3
depth,right_hip_f140,1.0,0.010278971907672931,0.08264973165304348,3
depth,right_hip_f140,5.0,0.010313473124440711,0.07882229710032125,3
depth,right_hip_f140,10.0,0.010407246541695978,0.07485676161536783,3
depth,right_hip_f150,1.0,0.00983134801069107,0.0875623766026058,3
depth,right_hip_f150,5.0,0.009819003852261938,0.08230059139538208,3
depth,right_hip_f150,10.0,0.009883229052891958,0.07681740307347962,3
depth,right_hip_f160,1.0,0.010519108190329928,0.08670266294517814,3
depth,right_hip_f160,5.0,0.010498880887935148,0.08117560197686097,3
depth,right_hip_f160,10.0,0.010559238315830855,0.07561717174619369,3
depth,right_knee_f100,1.0,0.014685721095949594,0.05837713392248313,3
depth,right_knee_f100,5.0,0.014618222526987521,0.055470765726231656,3
depth,right_knee_f100,10.0,0.014584000440243033,0.052781924833878884,3
depth,right_knee_f120,1.0,0.015025294177582275,0.0662774245789793,3
depth,right_knee_f120,5.0,0.01493390066250347,0.06407373479802077,3
depth,right_knee_f120,10.0,0.014733395861907812,0.06071686491581319,3
depth,right_knee_f140,1.0,0.010722953930444173,0.0797870144229995,3
depth,right_knee_f140,5.0,0.010739859128828936,0.07718122833327656,3
depth,right_knee_f140,10.0,0.010800426244586167,0.07442473589764427,3
depth,right_knee_f150,1.0,0.010307140895424333,0.08629239075078547,3
depth,right_knee_f150,5.0,0.010279546660353873,0.08119101675739618,3
depth,right_knee_f150,10.0,0.010334395009448513,0.07620565506476477,3
depth,right_knee_f160,1.0,0.01144363053558283,0.08504690058637754,3
depth,right_knee_f160,5.0,0.011419927210929756,0.08065493359327981,3
depth,right_knee_f160,10.0,0.011382764041240619,0.07559534211124927,3
depth,neck_f100,1.0,0.01479879166897666,0.06010757662038861,3
depth,neck_f100,5.0,0.014706707208261576,0.056443965093173024,3
depth,neck_f100,10.0,0.014654926845258954,0.05292659033175582,3
depth,neck_f120,1.0,0.014279617776968852,0.06239078787689643,3
depth,neck_f120,5.0,0.014186502333924728,0.05953881842196542,3
depth,neck_f120,10.0,0.014118403959876,0.05656410032758352,3
depth,neck_f140,1.0,0.01023044859840007,0.08313270324905866,3
depth,neck_f140,5.0,0.01029630939092638,0.07897488110203502,3
depth,neck_f140,10.0,0.010422533977764005,0.07465182323846223,3
depth,neck_f150,1.0,0.009978781320579737,0.08647237935459405,3
depth,neck_f150,5.0,0.00997454922423894,0.08163167316274414,3
depth,neck_f150,10.0,0.010032540559156887,0.07652699722384221,3
depth,neck_f160,1.0,0.011721353643466456,0.08220898524083149,3
depth,neck_f160,5.0,0.011655491041261665,0.07738350036120695,3
depth,neck_f160,10.0,0.011646920945779718,0.07245757071994151,3
depth,nose_f100,1.0,0.014412156236462128,0.06283586860950008,3
depth,nose_f100,5.0,0.014347231569938735,0.05837623600620144,3
depth,nose_f100,10.0,0.014338838768745187,0.05430971113950559,3
depth,nose_f120,1.0,0.014162409379593397,0.06686859390160507,3
depth,nose_f120,5.0,0.014005036420341656,0.06327690208103356,3
depth,nose_f120,10.0,0.013896098459578437,0.05969502356991393,3
depth,nose_f140,1.0,0.009410623304535634,0.08739791253250166,3
depth,nose_f140,5.0,0.00949128492423318,0.08329145268494181,3
depth,nose_f140,10.0,0.009581679118784518,0.07861651502999534,3
depth,nose_f150,1.0,0.010746108525089575,0.08443015922909299,3
depth,nose_f150,5.0,0.010716031737731663,0.07969811318439692,3
depth,nose_f150,10.0,0.010744351404230197,0.074701940569294,3
depth,nose_f160,1.0,0.011119864415018088,0.08386400809198223,3
depth,nose_f160,5.0,0.011084541845905748,0.07870493721496945,3
depth,nose_f160,10.0,0.011115616434531999,0.07345991211387114,3
depth,mid_hip_f100,1.0,0.014985213954817942,0.06000819566274106,3
depth,mid_hip_f100,5.0,0.014875944909954007,0.05715826490979075,3
