target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
left_right,1,arm_plane_angle,-2.0499072838501413e-05,5.8253187797303695e-05,0.0157593525632394
left_right,1,azimuth_angle,-1.420743581758456e-05,3.154745710078983e-05,0.0157593525632394
left_right,1,elbow_alignment,-3.521872910220644e-05,7.043745820441288e-05,0.0157593525632394
left_right,1,elbow_height_relative,-7.621716793466612e-06,2.0038722004460698e-05,0.0157593525632394
left_right,1,elevation_angle,0.0,0.0,0.0157593525632394
left_right,1,forward_position,-7.468940234350157e-06,1.4937880468700315e-05,0.0157593525632394
left_right,1,guide_hand_vx,-0.0002311517775413885,0.0012046921150778516,0.0157593525632394
left_right,1,hip_lateral_range,0.0,0.0,0.0157593525632394
left_right,1,hip_vertical_velocity_max,0.0,0.0,0.0157593525632394
left_right,1,jerk_at_release,0.0,0.0,0.0157593525632394
left_right,1,knee_bend_depth,0.0,0.0,0.0157593525632394
left_right,1,knee_extension_rate_max,-3.340178334337134e-05,0.0003929816231892945,0.0157593525632394
left_right,1,lateral_offset,0.0,0.0,0.0157593525632394
left_right,1,left_wrist_z_energy,-8.231370657694678e-06,4.359908069520909e-05,0.0157593525632394
left_right,1,left_wrist_z_max,-2.2888818689777853e-06,0.0006913172900470181,0.0157593525632394
left_right,1,left_wrist_z_mean,2.5223247964722972e-06,1.996225867365708e-05,0.0157593525632394
left_right,1,left_wrist_z_min,-4.671180347700504e-06,5.104892742804318e-05,0.0157593525632394
left_right,1,left_wrist_z_q25,5.078611981969225e-05,0.00010157223963938452,0.0157593525632394
left_right,1,left_wrist_z_q75,0.0001599534531319915,0.000264073601467272,0.0157593525632394
left_right,1,left_wrist_z_range,0.0005678210726885586,0.0007581592264693018,0.0157593525632394
left_right,1,left_wrist_z_std,1.9308512292988413e-06,5.305096568615518e-06,0.0157593525632394
left_right,1,mid_hip_z_energy,0.0013551372161849907,0.0019286996065245759,0.0157593525632394
left_right,1,mid_hip_z_max,7.233858946241456e-06,1.4467717892482911e-05,0.0157593525632394
left_right,1,mid_hip_z_mean,6.981594450753553e-06,2.4331441613068994e-05,0.0157593525632394
left_right,1,mid_hip_z_min,3.691039730405708e-05,7.382079460811417e-05,0.0157593525632394
left_right,1,mid_hip_z_q25,0.0,0.0,0.0157593525632394
left_right,1,mid_hip_z_q75,-6.849382234875092e-06,1.3698764469750185e-05,0.0157593525632394
left_right,1,mid_hip_z_range,0.0,0.0,0.0157593525632394
angle,2,acceleration_at_release,0.0,0.0,0.004862185364983966
angle,2,arm_extension_angle,0.0,0.0,0.004862185364983966
angle,2,arm_plane_angle,0.0,0.0,0.004862185364983966
