Keypoint,Start,End,Window,Test R²,Std
right_knee_z,80,90,10,-0.09064058542251587,0.10740081118829714
left_ankle_z,60,85,25,-0.09068573951721191,0.11000657872488759
left_elbow_z,140,185,45,-0.09071328163146973,0.1377025145579684
right_shoulder_z,120,135,15,-0.09075788736343383,0.11484891888878336
right_wrist_z,160,190,30,-0.09077456712722778,0.16803361251647037
left_shoulder_z,100,150,50,-0.09078338623046875,0.10642864116554303
right_ankle_z,70,75,5,-0.09079697847366333,0.10931907869998883
left_ankle_z,90,100,10,-0.09080532789230347,0.10954549429861547
left_ankle_z,110,125,15,-0.09081673383712768,0.11895579068189105
left_knee_z,100,105,5,-0.09088010549545288,0.11551906061636949
left_wrist_z,140,155,15,-0.09090720891952514,0.11454663108123113
left_elbow_z,160,170,10,-0.09091771602630615,0.13321552221083516
right_wrist_z,160,175,15,-0.09095442056655884,0.1397678631369383
right_hip_z,170,185,15,-0.0909567904472351,0.108148125785379
right_wrist_z,140,180,40,-0.09096181392669678,0.1348527070158439
right_shoulder_z,150,180,30,-0.09103503704071045,0.11320993042756672
right_hip_z,120,160,40,-0.09103793621063233,0.11641295483301417
left_knee_z,70,115,45,-0.09103826761245727,0.12053404070941769
left_knee_z,170,210,40,-0.09109036684036255,0.11935438930087597
right_ankle_z,170,205,35,-0.09135831356048583,0.11805948106685595
right_knee_z,170,210,40,-0.09140454769134522,0.12544495386742355
right_knee_z,90,115,25,-0.09141798734664917,0.11694938114866622
right_wrist_z,160,170,10,-0.09153071641921998,0.1320856747448779
left_knee_z,80,125,45,-0.09154881477355957,0.11543872459996166
right_elbow_z,100,125,25,-0.09158514976501465,0.12571847758201998
right_knee_z,120,165,45,-0.09160881757736206,0.10701486163055349
left_ankle_z,160,215,55,-0.09165898944468001,0.12839158463465847
left_shoulder_z,120,155,35,-0.09166790246963501,0.13372216655096653
right_hip_z,160,215,55,-0.09168159394019057,0.14371424209358838
left_wrist_z,90,120,30,-0.09169070482254028,0.11766561334166531
left_ankle_z,150,155,5,-0.0916975998878479,0.11693427839604192
left_elbow_z,170,175,5,-0.0917047381401062,0.15228360558877024
right_ankle_z,120,140,20,-0.09173254489898681,0.11274704761677712
right_wrist_z,160,215,55,-0.09174086324106223,0.1659406234680381
left_elbow_z,160,215,55,-0.09180109319500626,0.13265122902243368
right_knee_z,80,95,15,-0.09180986166000366,0.10652996833954041
left_knee_z,120,160,40,-0.09183930397033692,0.10980042161746496
left_elbow_z,90,125,35,-0.09186513900756836,0.12379420741320801
left_shoulder_z,170,215,45,-0.09190529071346518,0.11324809817032759
right_wrist_z,140,145,5,-0.09191558837890625,0.12691454085584639
right_hip_z,90,115,25,-0.0919322657585144,0.10995854687076936
right_ankle_z,160,205,45,-0.09199579238891602,0.12366899678777867
right_wrist_z,150,185,35,-0.09203993320465088,0.1637762102250468
right_shoulder_z,70,120,50,-0.09204124689102172,0.11529268964397343
left_wrist_z,140,185,45,-0.09210097789764404,0.15340233972650671
left_ankle_z,70,100,30,-0.0921551513671875,0.10970490557232665
left_hip_z,60,65,5,-0.09215914249420167,0.10204561740657757
right_knee_z,100,110,10,-0.09216906547546387,0.1237683700076916
right_hip_z,120,130,10,-0.09219465017318726,0.1209109545740507
right_elbow_z,120,135,15,-0.09228090047836304,0.11436734036237199
right_shoulder_z,90,105,15,-0.09228162050247192,0.10793041858539665
left_shoulder_z,150,190,40,-0.09228393316268921,0.12116488606773348
right_wrist_z,160,205,45,-0.09229027032852173,0.15527238415659525
right_ankle_z,60,85,25,-0.09234137535095215,0.11143233835370432
left_wrist_z,130,180,50,-0.09236193895339966,0.14177172788893105
right_ankle_z,170,190,20,-0.09236430168151856,0.11347243713034903
right_knee_z,130,150,20,-0.09245875358581543,0.11918667032614289
left_ankle_z,60,90,30,-0.09246111154556275,0.10718003755972128
right_hip_z,150,205,55,-0.09248246431350708,0.11754494436654594
right_elbow_z,140,190,50,-0.0925140142440796,0.13250288607761132
right_shoulder_z,140,150,10,-0.0925394344329834,0.11838358532378702
left_wrist_z,140,190,50,-0.09255476713180542,0.15247081868829582
right_elbow_z,160,210,50,-0.0925557804107666,0.14109566870060286
left_knee_z,80,90,10,-0.0925630521774292,0.11015649835721042
right_wrist_z,90,120,30,-0.09256386756896973,0.1162029895436305
right_ankle_z,90,125,35,-0.09261416912078857,0.11592452959775985
left_hip_z,150,190,40,-0.0926239538192749,0.11305619473577225
left_hip_z,60,75,15,-0.09266290426254273,0.1150649802280881
right_ankle_z,90,105,15,-0.09276747703552246,0.10896305113157395
left_knee_z,150,155,5,-0.09277888298034669,0.11425315253496271
right_wrist_z,100,145,45,-0.0927849817276001,0.12362918147772162
left_ankle_z,140,150,10,-0.09281833171844482,0.10672944120349155
right_knee_z,130,160,30,-0.0928264331817627,0.12021402708998588
