feature,importance_mean,importance_std,target,player_id,rank
angle_f153_right_heel_vz,0.4257600482553244,0.04520924435225003,depth,2,20
phase_load_right_knee_vel_max,0.3421861998736858,0.02324252256069986,depth,3,1
phase_setup_right_wrist_vel_max,0.24678941294550896,0.029274404792049027,depth,3,2
depth_window_right_wrist_y_std,0.2460911639034748,0.028647715427667975,depth,3,3
wrist_vy_release,0.24219959005713462,0.02862773245819493,depth,3,4
phase_propulsion_mid_hip_vel_mean,0.2292806886136532,0.02549809792368371,depth,3,5
depth_f102_right_shoulder_y,0.22209971621632577,0.02154036520873769,depth,3,6
angle_f153_right_big_toe_y,0.16853983029723169,0.015572467860769032,depth,3,7
lr_elbow_deviation_f237,0.16532843187451363,0.019797195761167355,depth,3,8
phase_setup_right_wrist_z_mean,0.16222564205527307,0.014465444539139697,depth,3,9
set_point_height,0.1510795533657074,0.015387012678308783,depth,3,10
release_velocity_mag,0.12951595485210418,0.011233752455627806,depth,3,11
depth_f102_left_third_finger_pip_vel_mag,0.1245237946510315,0.011086545941913202,depth,3,12
phase_setup_right_elbow_z_range,0.12031736373901367,0.0141538224610864,depth,3,13
angle_f153_right_small_toe_x,0.1066165030002594,0.01285283594719548,depth,3,14
velocity_magnitude_release,0.10298638418316841,0.00837555048621141,depth,3,15
peak_velocity_magnitude,0.102986291795969,0.008375562300289525,depth,3,16
angle_f153_left_small_toe_z,0.09573534354567528,0.009695616982801324,depth,3,17
phase_propulsion_right_knee_vel_mean,0.09398210123181343,0.0070461837997533435,depth,3,18
lr_hip_x_setup,0.08777216747403145,0.008953226184629764,depth,3,19
right_wrist_z_q25,0.08602402582764626,0.007349336193943893,depth,3,20
angle_f153_left_knee_angle,0.6341907350346446,0.05902045306253546,depth,4,1
phase_propulsion_right_wrist_vel_max,0.5584445683285594,0.04172192801993982,depth,4,2
depth_f102_right_elbow_y,0.44492905419319867,0.06418715543268207,depth,4,3
depth_f102_right_wrist_vel_mag,0.4341421900317073,0.05346206415771876,depth,4,4
right_knee_vel_min,0.41210541408509016,0.03761901818131418,depth,4,5
knee_extension_rate_max,0.4082378072664142,0.06569321086378171,depth,4,6
phase_propulsion_right_elbow_vel_max,0.4022535471245646,0.034022941379917106,depth,4,7
set_point_height,0.343272197060287,0.054909942723707104,depth,4,8
depth_f102_left_wrist_vel_mag,0.33149000983685256,0.040442835705492286,depth,4,9
angle_f153_right_small_toe_vz,0.32451121788471937,0.031750401039912744,depth,4,10
