target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
depth,1,hip_lateral_range,8.943292385053665e-05,9.686448274978444e-05,0.006976055359739115
depth,1,hip_vertical_velocity_max,0.0,0.0,0.006976055359739115
depth,1,jerk_at_release,0.0,0.0,0.006976055359739115
depth,1,knee_bend_depth,-1.7434490510937622e-05,3.4868981021875245e-05,0.006976055359739115
depth,1,knee_extension_rate_max,-4.246133157677076e-05,5.427242839717847e-05,0.006976055359739115
depth,1,lateral_offset,0.0,0.0,0.006976055359739115
depth,1,left_wrist_z_energy,-1.0702865870719561e-05,2.140573174143912e-05,0.006976055359739115
depth,1,left_wrist_z_max,-2.944803038475736e-05,6.375360967502033e-05,0.006976055359739115
depth,1,left_wrist_z_mean,-1.8351510963687233e-07,3.670302192737446e-07,0.006976055359739115
depth,1,left_wrist_z_min,9.133645281716252e-05,0.00012068054143678678,0.006976055359739115
depth,1,left_wrist_z_q25,0.0,0.0,0.006976055359739115
depth,1,left_wrist_z_q75,4.446251754682123e-05,0.00028795779607400135,0.006976055359739115
depth,1,left_wrist_z_range,4.436047134231567e-05,9.051351532482163e-05,0.006976055359739115
depth,1,left_wrist_z_std,-1.1386665337627216e-05,3.97650684312568e-05,0.006976055359739115
depth,1,mid_hip_z_energy,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_max,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_mean,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_min,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_q25,5.761911736566615e-06,7.3129885692174135e-06,0.006976055359739115
depth,1,mid_hip_z_q75,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_range,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_std,0.0,0.0,0.006976055359739115
depth,1,neck_z_energy,0.0,0.0,0.006976055359739115
depth,1,neck_z_max,0.0,0.0,0.006976055359739115
depth,1,neck_z_mean,0.0,0.0,0.006976055359739115
depth,1,neck_z_min,0.0,0.0,0.006976055359739115
depth,1,neck_z_q25,0.0,0.0,0.006976055359739115
depth,1,neck_z_q75,0.0,0.0,0.006976055359739115
depth,1,neck_z_range,-1.0792842039512631e-05,2.158568407902526e-05,0.006976055359739115
depth,1,neck_z_std,0.0,0.0,0.006976055359739115
depth,1,participant_1,0.0,0.0,0.006976055359739115
depth,1,participant_2,0.0,0.0,0.006976055359739115
depth,1,participant_3,0.0,0.0,0.006976055359739115
depth,1,participant_4,0.0,0.0,0.006976055359739115
depth,1,participant_5,0.0,0.0,0.006976055359739115
depth,1,participant_id,0.0,0.0,0.006976055359739115
depth,1,peak_velocity_magnitude,-1.3443277319230042e-05,3.195218931109461e-05,0.006976055359739115
depth,1,release_frame,-6.616958817279365e-06,0.00010472214401845557,0.006976055359739115
depth,1,release_height_relative,0.0,0.0,0.006976055359739115
depth,1,release_time,-8.8714067180857e-07,2.4182801105838753e-05,0.006976055359739115
depth,1,right_elbow_vel_load_mean,1.6445497333635994e-05,2.3206926713768103e-05,0.006976055359739115
depth,1,right_elbow_vel_max,0.0,0.0,0.006976055359739115
depth,1,right_elbow_vel_max_time,-2.5577301154727614e-06,1.0857359199861127e-05,0.006976055359739115
depth,1,right_elbow_vel_mean,0.0,0.0,0.006976055359739115
depth,1,right_elbow_vel_min,-3.378315719160252e-06,6.7566314383205034e-06,0.006976055359739115
depth,1,right_elbow_vel_prep_mean,6.441091555518577e-05,9.523971172854548e-05,0.006976055359739115
depth,1,right_elbow_vel_prop_mean,2.2573618211045963e-05,3.855548710830147e-05,0.006976055359739115
depth,1,right_elbow_vel_range,0.0,0.0,0.006976055359739115
depth,1,right_elbow_vel_release_mean,0.0,0.0,0.006976055359739115
depth,1,right_elbow_vel_std,0.0,0.0,0.006976055359739115
depth,1,right_elbow_z_energy,-1.8718137505518405e-05,3.743627501103681e-05,0.006976055359739115
depth,1,right_elbow_z_max,-5.9089763141085065e-06,1.1817952628217013e-05,0.006976055359739115
depth,1,right_elbow_z_mean,-4.516546001114702e-06,9.033092002229404e-06,0.006976055359739115
depth,1,right_elbow_z_min,0.0,0.0,0.006976055359739115
depth,1,right_elbow_z_q25,0.0,0.0,0.006976055359739115
depth,1,right_elbow_z_q75,-1.3251302179536086e-05,2.7834908258869778e-05,0.006976055359739115
depth,1,right_elbow_z_range,0.0,0.0,0.006976055359739115
depth,1,right_elbow_z_std,-1.3056063719885566e-07,2.611212743977113e-07,0.006976055359739115
depth,1,right_hip_z_energy,0.0,0.0,0.006976055359739115
depth,1,right_hip_z_max,-6.790202734214118e-06,1.3580405468428236e-05,0.006976055359739115
depth,1,right_hip_z_mean,0.0,0.0,0.006976055359739115
depth,1,right_hip_z_min,0.0,0.0,0.006976055359739115
depth,1,right_hip_z_q25,0.0,0.0,0.006976055359739115
depth,1,right_hip_z_q75,-1.7567484360404373e-06,6.179386255390201e-06,0.006976055359739115
depth,1,right_hip_z_range,0.0,0.0,0.006976055359739115
