feature,importance_mean,importance_std
angle_f153_left_knee_angle,0.014533566031605005,0.0012342616174087953
phase_load_right_elbow_z_mean,0.014209276996552944,0.0025952455285488374
wrist_vy_release,0.01382927382364869,0.0011268890050177038
release_vy,0.013585540931671858,0.0011705350199231264
phase_propulsion_right_knee_vel_mean,0.013464526552706958,0.002545040552186595
right_knee_vel_prop_mean,0.012899877969175577,0.0024810326941486095
right_hip_z_q25,0.012648629304021598,0.0034479920181173496
left_wrist_z_range,0.012539853062480687,0.0011080444341484436
neck_z_q25,0.0120433259755373,0.0031091978290230084
knee_bend_depth,0.011582394409924746,0.0022811199293583492
neck_z_energy,0.011523519549518824,0.0020090592337420345
depth_f102_left_third_finger_mcp_vel_mag,0.011261030286550521,0.0017712083111949013
release_vx,0.01122943228110671,0.0026605300661126253
angle_f153_left_big_toe_x,0.011134519148617983,0.0018836378697401465
depth_window_right_wrist_y_std,0.011044715903699398,0.001554671479296338
right_knee_z_energy,0.01088909599930048,0.0025185898860183398
angle_f153_left_hip_vz,0.01084383986890316,0.0011707064053799695
angle_f153_right_ankle_vz,0.01068686442449689,0.001220691573948162
phase_setup_right_elbow_vel_max,0.010673740599304437,0.001391912569061508
depth_f102_left_second_finger_pip_z,0.010643589869141578,0.0016139750618888076
right_hip_z_range,0.010634837113320828,0.0017078370385791037
depth_f102_left_third_finger_mcp_y,0.010368993878364563,0.0014061604658102864
lr_f237_right_third_finger_dip_y,0.01034612488001585,0.0018856879136859672
phase_propulsion_mid_hip_z_mean,0.010335622914135456,0.0017240134505137805
angle_f153_left_knee_x,0.010093738790601492,0.0019438386310086726
angle_f153_right_ankle_x,0.009891601745039225,0.0014454537627528196
elbow_alignment,0.009824155457317829,0.0025037337748901388
lr_f237_right_hip_z,0.009779097512364388,0.002191775864300137
depth_f102_left_thumb_z,0.009473853185772896,0.0015311417025411576
depth_f102_left_first_finger_mcp_z,0.009473852533847093,0.0015311412267808547
lr_f237_right_third_finger_pip_y,0.009400439821183682,0.0017706706007872294
right_elbow_z_range,0.00934618255123496,0.0021741024758526887
wrist_jerk_mean,0.009236512240022421,0.0010130407199397348
phase_propulsion_right_elbow_z_mean,0.00894117383286357,0.0016871010967279589
depth_f102_right_elbow_y,0.008914192952215672,0.0015257014496294031
depth_f102_left_wrist_z,0.008870338555425406,0.0014770133356389475
wrist_z_release,0.008666018582880497,0.0018061641578261942
depth_f102_left_wrist_vel_mag,0.00858551999554038,0.0009864633449641674
angle_f153_mid_hip_z,0.008520390652120114,0.0009586298792823647
angle_f153_left_heel_y,0.008384493365883827,0.0015539829056097146
angle_f153_right_knee_vz,0.00826345207169652,0.00112761677897886
right_knee_vel_release_mean,0.008156779315322637,0.0023514164846612476
lr_f237_right_wrist_y,0.008118227403610945,0.0016141241398095582
depth_f102_right_elbow_z,0.008077631331980228,0.0014444793269555627
right_elbow_z_energy,0.007677259389311075,0.0014209017319226044
left_wrist_z_std,0.007596284523606301,0.001511546464928969
angle_window_right_knee_z_std,0.007578012067824602,0.0010818503036179015
depth_f102_left_first_finger_cmc_z,0.007547821290791035,0.0013586948306405465
arm_plane_angle,0.007511130068451166,0.00237319957119044
azimuth_angle,0.007511128764599561,0.0023731961696265933
phase_follow_right_knee_vel_mean,0.00751010961830616,0.0022361128173865696
lr_f237_right_first_finger_mcp_z,0.007242056354880333,0.0010717322965718556
right_elbow_vel_max_time,0.007131664734333754,0.000991014233153877
wrist_vel_smoothness,0.00702519491314888,0.0009210074070402153
phase_propulsion_right_wrist_z_mean,0.00692826546728611,0.0014937570672720944
right_hip_z_std,0.006820448394864798,0.0015447381596483353
right_wrist_vel_std,0.006596080679446459,0.0008918220049070784
phase_propulsion_right_knee_vel_max,0.006333018373697996,0.0016696813975045578
depth_f102_left_first_finger_cmc_x,0.006322083435952664,0.0009297181288454935
neck_z_q75,0.0060454333201050755,0.0009875710583555272
wrist_vz_release,0.005813696887344122,0.0019122175355553235
lr_f237_right_second_finger_dip_z,0.00567379742860794,0.000944897216714476
depth_f102_left_second_finger_pip_vel_mag,0.005571281164884567,0.0008818008473059162
right_elbow_z_max,0.005407271161675453,0.0006750563641665342
left_wrist_z_min,0.005310520250350237,0.0006541477935690973
depth_f102_left_first_finger_mcp_vel_mag,0.00523375952616334,0.0006329263956216059
depth_f102_left_thumb_vel_mag,0.005233755614608526,0.0006329230285991393
forward_position,0.005231701210141182,0.0011231457461493898
phase_follow_right_wrist_z_range,0.005192268639802933,0.0011109634114973956
depth_f102_left_third_finger_pip_vel_mag,0.005145125277340412,0.0010068542587699264
lr_f237_right_first_finger_mcp_y,0.005136527121067047,0.001186073578138067
angle_f153_left_hip_y,0.004963909741491079,0.0013402460322675027
lr_f237_right_second_finger_pip_z,0.004801703523844481,0.0008638755502381691
mid_hip_z_q25,0.004738289164379239,0.0017607488712606844
lr_f237_left_hip_y,0.00467572445049882,0.0012150265337367329
angle_f153_right_big_toe_z,0.004649269813671708,0.0013707877844228637
angle_f153_mid_hip_vz,0.004644223116338253,0.0008839141190034773
angle_f153_right_heel_x,0.004548214562237263,0.0008181024640351148
lr_f237_right_third_finger_dip_z,0.004507741611450911,0.0008432065135989788
right_elbow_z_mean,0.004471153020858765,0.001064060984833764
angle_f153_left_knee_z,0.004453693423420191,0.0006692038371181366
phase_propulsion_mid_hip_z_range,0.004368703160434961,0.0009766069973984567
depth_f102_left_second_finger_mcp_vel_mag,0.004349696356803179,0.0005215963902055775
wrist_jerk_max,0.004348122980445623,0.0004462396306890987
phase_propulsion_right_knee_z_mean,0.004328627698123455,0.0009520806959549629
lr_elbow_deviation_f237,0.004275412764400244,0.0010802354230095574
