experiment_name,timestamp,phase,model_type,feature_set,n_features,angle_mse,depth_mse,left_right_mse,total_scaled_mse,training_time_seconds,per_player,per_target,notes,error_message,hyperparams
tuned_angle,2026-01-28T21:51:56.019590,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.006615962996864051,0.029043525199424047,0.018451110950086613,0.018036866382124903,76.5,False,True,Optuna tuned for angle,,"{""n_estimators"": 248, ""num_leaves"": 26, ""learning_rate"": 0.024623557680683538, ""subsample"": 0.7301423925919845, ""colsample_bytree"": 0.8998296702028786, ""reg_lambda"": 0.11173585848067301, ""reg_alpha"": 0.027638567938948526, ""verbose"": -1, ""n_jobs"": -1}"
tuned_depth,2026-01-28T21:53:08.263043,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.015069358252752898,0.018317093131818358,0.01569825400810412,0.016361568464225124,72.2,False,True,Optuna tuned for depth,,"{""n_estimators"": 109, ""num_leaves"": 23, ""learning_rate"": 0.010036817092287495, ""subsample"": 0.8353085856117147, ""colsample_bytree"": 0.6295874047192426, ""reg_lambda"": 1.7928869203559221, ""reg_alpha"": 0.147713991962166, ""verbose"": -1, ""n_jobs"": -1}"
tuned_angle,2026-01-28T21:53:34.418250,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.006444270307716138,0.025618342649713563,0.01780989475218066,0.016624169236536788,85.5,False,True,Optuna tuned for angle,,"{""n_estimators"": 175, ""num_leaves"": 31, ""learning_rate"": 0.02236807377983991, ""subsample"": 0.7246227182333641, ""colsample_bytree"": 0.8903280240070602, ""reg_lambda"": 0.6310597332556218, ""reg_alpha"": 0.015862372424967075, ""verbose"": -1, ""n_jobs"": -1}"
tuned_left_right,2026-01-28T21:54:33.243375,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.012304839410092722,0.018100137500542145,0.01582307386773552,0.015409350259456797,85.0,False,True,Optuna tuned for left_right,,"{""n_estimators"": 104, ""num_leaves"": 40, ""learning_rate"": 0.010090197461915503, ""subsample"": 0.5902332848506947, ""colsample_bytree"": 0.8933789895190923, ""reg_lambda"": 0.6394517152628126, ""reg_alpha"": 0.01383899448903159, ""verbose"": -1, ""n_jobs"": -1}"
tuned_combined,2026-01-28T21:54:42.805943,8_per_target_tuning,lgbm_tuned,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,9.6,False,False,Combined with tuned per-target params,,{}
feature_importance,2026-01-28T21:54:45.280732,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,2.5,False,False,Feature importance saved to /Users/elliot18/Desktop/Home/Projects/SPLxUTSPAN-2026-Data-Challenge/output/overnight/analysis/feature_importances.json,,{}
tuned_depth,2026-01-28T21:54:47.750147,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.013743840464230956,0.01821911680221573,0.015476224075824371,0.015813060447423685,73.3,False,True,Optuna tuned for depth,,"{""n_estimators"": 104, ""num_leaves"": 19, ""learning_rate"": 0.01002143507712246, ""subsample"": 0.6058742804686761, ""colsample_bytree"": 0.7169834425677343, ""reg_lambda"": 1.1235256435465053, ""reg_alpha"": 0.4152589393387071, ""verbose"": -1, ""n_jobs"": -1}"
model_correlation,2026-01-28T21:54:55.146176,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,9.9,False,False,"Model correlations: {'angle': 0.9065292800042214, 'depth': 0.2966531195753546, 'left_right': 0.3792398436262936}",,{}
participant_analysis,2026-01-28T21:55:05.373336,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,10.2,False,False,Hardest participant: 5 (MSE: 0.0291),,{}
error_analysis,2026-01-28T21:55:15.206900,9_analysis,analysis,f4_hybrid,132,0.0,0.0,0.0,0.0,9.8,False,False,Error stats saved to /Users/elliot18/Desktop/Home/Projects/SPLxUTSPAN-2026-Data-Challenge/output/overnight/analysis/error_distribution.json,,{}
tuned_left_right,2026-01-28T21:55:46.368224,8_per_target_tuning,lgbm_optuna,f4_hybrid,132,0.017458386765728244,0.018061407489510472,0.015112308320104567,0.016877367525114425,58.6,False,True,Optuna tuned for left_right,,"{""n_estimators"": 100, ""num_leaves"": 11, ""learning_rate"": 0.010227291762686084, ""subsample"": 0.8843972079481055, ""colsample_bytree"": 0.7772561340964367, ""reg_lambda"": 9.524141485770278, ""reg_alpha"": 0.22059507378189833, ""verbose"": -1, ""n_jobs"": -1}"
tuned_combined,2026-01-28T21:55:52.875192,8_per_target_tuning,lgbm_tuned,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.5,False,False,Combined with tuned per-target params,,{}
