feature_idx,feature_name,feature_type,target,beta,intercept,se_beta,t_stat,p_value,ci_lower,ci_upper,r_squared,pearson_r,std_X,std_Y,beta_standardized,n_samples
50,right_ankle_z,raw_mean,angle,-39.795374788775895,75.08308868662883,4.20865898069467,-9.455594993873174,5.231820625850426e-19,-48.04434639093745,-31.54640318661434,0.2067681899452589,-0.45471770357581076,0.05565547,4.870781,-0.45471766376191924,345
50,right_ankle_z,raw_mean,depth,18.40063011777966,-4.027265391349797,5.144607206020246,3.5766831909435473,0.00039798424632601253,8.317199993979978,28.484060241579343,0.03595538635663439,0.18961905589005126,0.05565547,5.400806,0.18961905037675528,345
50,right_ankle_z,raw_mean,left_right,6.020160550220902,-5.2599932286097015,3.67315951435222,1.6389597366240676,0.10213851158120976,-1.1792320979094484,13.219553198351253,0.007770599762470771,0.08815100545354415,0.05565547,3.8009193,0.08815100453428693,345
50,right_ankle_z,raw_std,angle,-38.4500489785958,48.82811635566942,9.599374003132546,-4.005474624287841,7.592483776538884e-05,-57.264822024735594,-19.63527593245601,0.04468487065046082,-0.21138796240671043,0.026778234,4.870781,-0.2113879470178685,345
50,right_ankle_z,raw_std,depth,18.174496440390033,8.078104819959844,10.845736958515447,1.6757272013793831,0.09470291144110626,-3.083147998300241,39.43214087908031,0.008120289735341462,0.09011265025145727,0.026778234,5.400806,0.09011264925592821,345
50,right_ankle_z,raw_std,left_right,10.359233647588715,-1.6832685738906703,7.643634745159729,1.3552758593218517,0.17622148373763147,-4.622290452924354,25.340757748101783,0.005326498797443997,0.07298286646497243,0.026778234,3.8009193,0.07298286422598692,345
51,left_big_toe_x,raw_mean,angle,4.042267936120251,-33.166375266131666,0.7188333406721693,5.6233729119191835,3.887615894838235e-08,2.6333545884027996,5.451181283837704,0.08441120823010417,0.2905360704458298,0.35008502,4.870781,0.29053604426439605,345
51,left_big_toe_x,raw_mean,depth,0.10445870010507065,7.626298995954258,0.8329673942975008,0.12540550905136919,0.9002759958991464,-1.5281573927180307,1.7370747929281722,4.584787367911299e-05,0.0067711057944115,0.35008502,5.400806,0.006771105455521691,345
51,left_big_toe_x,raw_mean,left_right,-0.3166053413450273,5.377875755086117,0.5859806998135898,-0.5402999474995418,0.5893408361858892,-1.4651275129796633,0.8319168302896085,0.0008503667369690805,-0.029161048283096416,0.35008502,3.8009193,-0.029161046216045303,345
51,left_big_toe_x,raw_std,angle,-2.0304776872379025,46.13798778791093,0.42325404856712545,-4.797302457263752,2.402777138048999e-06,-2.8600556224294684,-1.2008997520463365,0.06287766013170178,-0.2507541826803728,0.6015179,4.870781,-0.25075418510355696,345
51,left_big_toe_x,raw_std,depth,1.1062229879417558,9.302503243364143,0.4811067323863735,2.2993296777509147,0.022086568598144687,0.1632537924644637,2.0491921834190476,0.015179774804711568,0.12320622875776845,0.6015179,5.400806,0.12320623264193829,345
51,left_big_toe_x,raw_std,left_right,0.3034551949220699,-0.8800441177138635,0.34079378446065195,0.8904364127483283,0.37385573125376903,-0.3645006226208079,0.9714110124649478,0.002306263620279248,0.0480235735892202,0.6015179,3.8009193,0.04802357647292738,345
52,left_big_toe_y,raw_mean,angle,-0.6707680457429815,28.072765217238008,0.9030731708394544,-0.7427615694965969,0.4581344294431025,-2.440791460588312,1.099255369102349,0.0016058565786552838,-0.04007314036427996,0.29099104,4.870781,-0.04007313950297385,345
52,left_big_toe_y,raw_mean,depth,1.4348985833625962,46.90483844955967,0.9991486824233831,1.4361211785640597,0.15187924741132472,-0.5234328341872345,3.393230000912427,0.005977016841867645,0.07731116893352244,0.29099104,5.400806,0.07731116839742001,345
52,left_big_toe_y,raw_mean,left_right,1.1619713194706947,29.379312867862687,0.7024845035857474,1.6540881877672065,0.0990243963004587,-0.21489830755737027,2.53884094649876,0.007913574726716431,0.08895827520088523,0.29099104,3.8009193,0.08895827974867188,345
