name,kind,n,nn1_dist_p01,nn1_dist_median,nn1_abs_dangle_median,nn1_abs_dangle_p90,nn1_abs_dangle_p95,pct_nn1_abs_dangle_le_0p1,pct_nn1_abs_dangle_le_0p25,pct_nn1_abs_dangle_gt_1
angles_handframe_rr=True_hd=False,custom,345.0,38.98630477905274,58.262840270996094,1.7900009155273438,5.357999420166019,7.331999206542971,3.768115942028986,7.246376811594203,70.43478260869566
both_hands_win2_wrist_speed,win,345.0,4.135937690734863,9.520463943481445,1.8800010681152344,5.595999908447267,6.69000244140625,3.768115942028986,9.565217391304348,70.14492753623188
angles_handframe_rr=False_hd=True,custom,345.0,38.66197235107422,58.21342086791992,1.9199981689453125,5.381999969482424,7.331999206542971,3.768115942028986,7.536231884057972,71.01449275362319
angles_handframe_rr=True_hd=True,custom,345.0,38.66197235107422,58.21342086791992,1.9199981689453125,5.381999969482424,7.331999206542971,3.768115942028986,7.536231884057972,71.01449275362319
angles_handframe_arclen60_rr=False_hd=False,custom,345.0,19.50625114440918,32.58061218261719,2.009998321533203,5.396000671386719,7.43199920654297,3.768115942028986,9.565217391304348,71.8840579710145
angles_handframe_arclen60_rr=False_hd=True,custom,345.0,19.694018325805665,32.39305877685547,2.009998321533203,5.349998474121094,7.30800018310547,3.768115942028986,9.855072463768117,70.72463768115942
angles_handframe_arclen60_rr=True_hd=False,custom,345.0,19.50625114440918,32.58061218261719,2.009998321533203,5.396000671386719,7.43199920654297,3.768115942028986,9.565217391304348,71.8840579710145
angles_handframe_arclen60_rr=True_hd=True,custom,345.0,19.694018325805665,32.39305877685547,2.009998321533203,5.349998474121094,7.30800018310547,3.768115942028986,9.855072463768117,70.72463768115942
both_hands_posvel_rr=True_hd=True,full,345.0,51.948158264160156,96.40491485595703,1.7999992370605469,5.611999511718752,7.849998474121094,3.4782608695652173,8.985507246376812,70.43478260869566
both_hands_win8_wrist_speed,win,345.0,8.208880462646484,17.23681640625,1.9099998474121094,5.3600006103515625,6.909999847412109,3.4782608695652173,9.855072463768117,71.59420289855073
both_hands_win6_wrist_speed,win,345.0,6.97705924987793,14.605030059814453,2.0900001525878906,5.631999206542969,6.974001312255861,3.4782608695652173,11.014492753623188,72.46376811594203
right_hand_win2_wrist_speed,win,345.0,3.2070152664184572,6.634634017944336,1.8100013732910156,5.888002014160157,7.03600082397461,3.1884057971014492,10.434782608695652,69.27536231884058
right_hand_win4_tips_vz,win,345.0,5.65919448852539,10.735692024230957,1.5800018310546875,5.173998260498048,7.470001220703125,2.898550724637681,6.956521739130435,66.95652173913044
both_hands_win4_tips_vz,win,345.0,7.5526667404174805,15.577333450317383,1.720001220703125,5.040000915527344,7.396000671386719,2.898550724637681,8.115942028985506,72.17391304347827
right_hand_win8_tips_vz,win,345.0,9.674599113464355,16.10230827331543,1.7599983215332031,5.145999145507816,7.1360023498535154,2.898550724637681,8.405797101449275,70.43478260869566
right_hand_win4_wrist_speed,win,345.0,3.9747435092926025,8.363541603088379,1.9399986267089844,5.846001434326172,6.962001037597656,2.898550724637681,8.115942028985506,75.94202898550725
both_hands_win8_tips_vz,win,345.0,11.700296401977539,21.998884201049805,1.7600021362304688,5.233999633789064,7.085999298095705,2.608695652173913,8.405797101449275,73.04347826086956
both_hands_win2_tips_vz,win,345.0,5.847265682220459,11.89649772644043,1.6800003051757812,5.1059989929199245,6.573999786376956,2.318840579710145,6.666666666666667,70.43478260869566
right_hand_win6_wrist_speed,win,345.0,5.93150520324707,10.913434982299805,2.039997100830078,5.705999755859377,7.018000793457032,2.318840579710145,9.565217391304348,75.36231884057972
right_hand_win8_wrist_speed,win,345.0,6.941924648284912,12.810626029968262,2.039997100830078,5.631999206542969,7.026000976562501,2.318840579710145,7.82608695652174,76.81159420289855
both_hands_win4_wrist_speed,win,345.0,5.268105983734131,12.292411804199219,2.0900001525878906,5.862002563476563,6.909999847412109,2.318840579710145,7.246376811594203,78.55072463768116
right_hand_win6_tips_vz,win,345.0,8.028451881408692,13.000066757202148,1.7599983215332031,5.729999542236328,7.49600067138672,2.0289855072463765,6.3768115942028984,68.69565217391305
both_hands_win6_tips_vz,win,345.0,9.646016654968262,18.065759658813477,1.7000007629394531,5.149997711181641,7.510000610351563,0.2898550724637681,6.3768115942028984,71.8840579710145
