player,frame,feature_idx,feature_name,target,beta,se_beta,p_value,r_squared,n_samples
4,0,88,left_second_finger_dip_y,left_right,0.2767887682826147,1.174162391733136,0.8143810726199459,0.0008541931960662561,67
4,0,89,left_second_finger_dip_z,angle,-1.409871123361157,0.5665456713081773,0.015398153928390034,0.0869866765299813,67
4,0,89,left_second_finger_dip_z,depth,0.04576615874994453,1.0641658443786113,0.9658281104956964,2.8454082074345593e-05,67
4,0,89,left_second_finger_dip_z,left_right,-0.34175304040930804,0.8613091342454883,0.6928270678513598,0.00241625449822632,67
4,0,90,left_second_finger_distal_x,angle,1.5527999778108725,0.6773070919080695,0.025115985215026348,0.07481282168381817,67
4,0,90,left_second_finger_distal_x,depth,-2.0148168494738274,1.2388793672917775,0.10872005273749698,0.0391001027166099,67
4,0,90,left_second_finger_distal_x,left_right,0.12313688577855206,1.0240249141024593,0.9046576621202563,0.0002224054005475972,67
4,0,91,left_second_finger_distal_y,angle,0.0019303829654627011,0.8388384708900234,0.9981709123754295,8.147359525036457e-08,67
4,0,91,left_second_finger_distal_y,depth,-2.0052942366637545,1.4848704074893735,0.18154395963737893,0.027292787051281492,67
4,0,91,left_second_finger_distal_y,left_right,0.4224540547114665,1.2188925730983484,0.7300200545356288,0.001844645378939525,67
4,0,92,left_second_finger_distal_z,angle,-1.365992706680746,0.5594602811006831,0.01735203915684834,0.08401082106188892,67
4,0,92,left_second_finger_distal_z,depth,0.010123224823254872,1.0491628471011911,0.9923309971250736,1.4323131509384472e-06,67
4,0,92,left_second_finger_distal_z,left_right,-0.35992298142636003,0.8490094547840494,0.6730144928453622,0.002757284743590419,67
4,0,93,left_third_finger_mcp_x,angle,1.4880826453545808,0.7177616362627363,0.0421193550741437,0.062025636752904956,67
4,0,93,left_third_finger_mcp_x,depth,-1.8722712523404283,1.30973142406261,0.15764719487025308,0.030480101796867668,67
4,0,93,left_third_finger_mcp_x,left_right,-0.0570732181949468,1.0778625784370335,0.9579338554698568,4.313262066814799e-05,67
4,0,94,left_third_finger_mcp_y,angle,0.0709152933349291,0.8874988132015319,0.9365585866950693,9.821735432214772e-05,67
4,0,94,left_third_finger_mcp_y,depth,-2.2771936618179396,1.5677315646815944,0.15116184558748977,0.03143909992388437,67
4,0,94,left_third_finger_mcp_y,left_right,0.5591217037574331,1.2889897053465713,0.6658936706495555,0.002886324263285301,67
4,0,95,left_third_finger_mcp_z,angle,-1.55427936947029,0.5978777118117597,0.011537172426932949,0.09418064827566905,67
4,0,95,left_third_finger_mcp_z,depth,0.311986318604293,1.1268205218145055,0.7827561035505256,0.0011779757682625711,67
4,0,95,left_third_finger_mcp_z,left_right,-0.4744305057578803,0.9117523648025,0.6045874558439217,0.00414832446222423,67
4,0,96,left_third_finger_pip_x,angle,1.3982228393715896,0.6897066018968916,0.046739177285042975,0.05946811647744244,67
4,0,96,left_third_finger_pip_x,depth,-1.6213090469014668,1.2604883863599474,0.20291703511115058,0.02482131345433763,67
4,0,96,left_third_finger_pip_x,left_right,-0.18900862161098134,1.0340797774491206,0.8555399115921383,0.0005137107145103004,67
4,0,97,left_third_finger_pip_y,angle,0.07410928479152074,0.8672937623900367,0.932167189032796,0.00011231833569465865,67
4,0,97,left_third_finger_pip_y,depth,-2.286132745513043,1.5306738465873369,0.1401327878998565,0.03317951637373936,67
4,0,97,left_third_finger_pip_y,left_right,0.591281048296516,1.2593412087645066,0.6402719892597646,0.003380004888624235,67
4,0,98,left_third_finger_pip_z,angle,-1.443255351302996,0.5465727809510489,0.01035371700204922,0.09687764807758038,67
4,0,98,left_third_finger_pip_z,depth,0.36623774305397716,1.0312712494659684,0.7236402535372302,0.0019365342353513898,67
4,0,98,left_third_finger_pip_z,left_right,-0.47076136096070614,0.834453315535994,0.574589902731084,0.0048726234138104,67
4,0,99,left_third_finger_dip_x,angle,1.3893019157695194,0.49828982263286054,0.006944886447373393,0.10682050413535757,67
4,0,99,left_third_finger_dip_x,depth,-0.8752522749117302,0.9400585819668256,0.3552670840588439,0.013161021477423014,67
4,0,99,left_third_finger_dip_x,left_right,-0.05763257451143378,0.766799421264911,0.9403183257630242,8.690032274393418e-05,67
4,0,100,left_third_finger_dip_y,angle,-0.5828176277733459,0.6644098328142903,0.38361089043222213,0.011699542924395673,67
4,0,100,left_third_finger_dip_y,depth,-1.4668346043068565,1.1856507682092452,0.22048022447559193,0.023005282913884328,67
4,0,100,left_third_finger_dip_y,left_right,0.3380646189973105,0.9711248924188632,0.7288775895611763,0.0018609168733432204,67
4,0,101,left_third_finger_dip_z,angle,-1.371856063428179,0.5683386338211688,0.018613408338602252,0.0822635349776508,67
4,0,101,left_third_finger_dip_z,depth,0.22954839242797337,1.0644174786650666,0.829930918111954,0.0007149909292413635,67
