type,contrast,percentile,alpha,depth_cal,n_modified,depth_mean,angle_mean,lr_mean,sim_to_219
uniform,151,95,1.2,0.5055,6,0.5055,0.521602992853807,0.47101031023554424,0.0010592358615018863
per_target,151,92,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,9,0.5061661084313855,0.5213353588569479,0.4703338011917785,0.0010592974509529489
uniform,151,92,0.8,0.505,9,0.505,0.5213242269021813,0.4703338011917785,0.0010617795641222197
uniform,151,88,0.9,0.505,14,0.505,0.521245291562173,0.47036173447291924,0.001061949629251688
uniform,151,90,1.3,0.505,12,0.505,0.521257483437621,0.47118323006250923,0.0010661827290786188
uniform,151,90,0.8,0.5055,12,0.5055,0.5212660279166571,0.47023460620186947,0.0010739627479670994
per_target,151,91,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,11,0.5055000000000001,0.5214316332334633,0.4701546538071638,0.0010769881929584889
uniform,151,88,1.0,0.506,14,0.506,0.5212414685042905,0.47054450407826076,0.001077868616052139
uniform,151,93,0.8,0.5055,8,0.5055000000000001,0.521380505488563,0.47012420406768257,0.00108025185429756
per_target,151,91,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,11,0.5056859747684649,0.5214316332334633,0.47051411525274334,0.0010853954522881955
per_target,151,92,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,9,0.5057054513530732,0.5213353588569479,0.47073804948351167,0.0010966171113506872
uniform,151,92,0.8,0.506,9,0.506,0.5213242269021813,0.4703338011917785,0.001097520968171558
uniform,151,91,0.8,0.506,11,0.506,0.5214012464033937,0.4701546538071638,0.0011018250178713366
per_target,151,93,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,8,0.5055,0.5214057070899251,0.47012420406768257,0.0011040211870825636
uniform,151,95,1.3,0.506,6,0.506,0.5216299340013647,0.4712014354197691,0.001110705866872791
per_target,151,91,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,11,0.5061076786775605,0.5214316332334633,0.4701546538071638,0.0011237523481432094
alt_contrast,25,88,0.9,0.5055,14,0.5055,0.521245291562173,0.47036173447291924,0.001125066295453069
uniform,151,88,0.9,0.5055,14,0.5055,0.521245291562173,0.47036173447291924,0.0011250662954530705
uniform,151,90,0.8,0.505,12,0.505,0.5212660279166571,0.47023460620186947,0.0011259047445759673
per_target,151,88,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,14,0.5055000000000001,0.5212338223885257,0.47054450407826076,0.0011273592662224138
per_target,151,95,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,6,0.5055,0.521602992853807,0.47062805986709444,0.0011325084319781323
uniform,151,88,0.9,,14,0.5055266193069697,0.521245291562173,0.47036173447291924,0.0011326830293057828
per_target,151,88,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,14,0.5055208974744083,0.5212338223885257,0.47054450407826076,0.0011333387795487012
uniform,151,85,1.2,0.505,17,0.5049999999999999,0.5212167323054947,0.4709134923829755,0.00113670170839942
per_target,151,88,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,14,0.5054999999999998,0.5212491146200554,0.4701789648675778,0.0011409029993532797
uniform,151,90,0.8,,12,0.5057288780822538,0.5212660279166571,0.47023460620186947,0.0011421535630338666
per_target,151,88,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,14,0.5055323411395313,0.5212491146200554,0.4701789648675778,0.0011501569537324485
per_target,151,90,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,12,0.5055,0.5212626101250427,0.47061405574612536,0.001150337380683318
uniform,151,93,0.8,0.505,8,0.505,0.521380505488563,0.47012420406768257,0.001153549849953243
per_target,151,92,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,9,0.5055,0.5213631887438644,0.4711422977752449,0.0011559037253678585
uniform,151,95,1.0,0.505,6,0.5049999999999999,0.5215491105586917,0.47062805986709444,0.0011572181123177172
uniform,151,88,1.2,0.506,14,0.506,0.5212338223885257,0.4709100432889438,0.0011617690839255716
uniform,151,93,0.8,,8,0.5057674933613707,0.521380505488563,0.47012420406768257,0.001163103780385853
per_target,151,90,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,12,0.5055000000000001,0.5212626101250427,0.47023460620186947,0.0011646043558151008
uniform,151,85,0.9,0.505,17,0.505,0.5212324739998997,0.470364321293443,0.0011652639606542807
uniform,151,95,0.9,0.506,6,0.506,0.5215221694111339,0.47043693468286957,0.0011676206634999922
uniform,151,95,0.9,0.5055,6,0.5055,0.5215221694111339,0.47043693468286957,0.0011687575030829031
per_target,151,91,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,11,0.5055,0.5215076003086376,0.47087357669832286,0.0011705706125540222
uniform,151,85,1.2,0.5055,17,0.5055,0.5212167323054947,0.4709134923829755,0.0011708725534180615
per_target,151,93,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,8,0.5060233175903928,0.5214057070899251,0.47012420406768257,0.0011725334083814572
per_target,151,93,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,8,0.5055000000000001,0.5214057070899251,0.4704760530783917,0.0011743713487481742
uniform,151,85,1.0,0.506,17,0.506,0.5212272267684314,0.4705473783232872,0.001184470379032415
uniform,151,85,1.2,,17,0.5055649826664323,0.5212167323054947,0.4709134923829755,0.0011883162780356085
per_target,151,90,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,12,0.5056337198566275,0.5212626101250427,0.47061405574612536,0.0011901772199735406
per_target,151,95,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,6,0.5060728612007227,0.521602992853807,0.47062805986709444,0.001198901842953954
per_target,151,95,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,6,0.5055,0.5214952282635762,0.47024580949864464,0.0012050065741877063
uniform,151,95,1.3,,6,0.5064464476924762,0.5216299340013647,0.4712014354197691,0.0012087486776908227
uniform,151,95,1.2,0.505,6,0.505,0.521602992853807,0.47101031023554424,0.0012111532656316631
uniform,151,95,0.9,,6,0.5061475784990733,0.5215221694111339,0.47043693468286957,0.001213330818080224
uniform,151,92,1.5,0.506,9,0.5059999999999999,0.5213631887438644,0.47174867021284467,0.0012175118219509703
per_target,151,92,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,9,0.5057054513530732,0.5213631887438644,0.4711422977752449,0.0012195391002135585
uniform,151,85,0.9,0.5055,17,0.5055,0.5212324739998997,0.470364321293443,0.001221007882135281
uniform,151,90,0.8,0.506,12,0.506,0.5212660279166571,0.47023460620186947,0.0012229302995895351
per_target,151,93,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,8,0.5056578544060756,0.5214057070899251,0.4704760530783917,0.0012232643063822188
per_target,151,85,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,17,0.5055,0.521237721231368,0.4701812642635989,0.0012263511579127533
per_target,151,91,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,11,0.5056859747684649,0.5215076003086376,0.47087357669832286,0.001227076220671687
per_target,151,95,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,6,0.5062222957974241,0.5214952282635762,0.47024580949864464,0.0012277597932064943
uniform,151,85,0.9,,17,0.5055425177033035,0.5212324739998997,0.470364321293443,0.0012331737146439653
uniform,151,93,0.8,0.506,8,0.506,0.521380505488563,0.47012420406768257,0.0012351191109347456
per_target,151,85,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,17,0.5055,0.5212167323054947,0.4705473783232872,0.0012369458634784078
uniform,151,92,1.5,0.5055,9,0.5054999999999998,0.5213631887438644,0.47174867021284467,0.0012386489747837114
per_target,151,85,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,17,0.5055500060243464,0.521237721231368,0.4701812642635989,0.0012406596663540707
per_target,151,85,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,17,0.5055350293822605,0.5212167323054947,0.4705473783232872,0.001246969020054427
uniform,151,88,0.8,0.505,14,0.505,0.5212491146200554,0.4701789648675778,0.0012489069570831683
per_target,151,90,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,12,0.5059509139420483,0.5212626101250427,0.47023460620186947,0.0012567080241613292
uniform,151,88,1.3,0.505,14,0.505,0.5212299993306433,0.47109281289428534,0.0012620734956388642
uniform,151,95,1.3,0.5055,6,0.5055,0.5216299340013647,0.4712014354197691,0.0012626232710026017
uniform,151,92,1.5,,9,0.5061661084313855,0.5213631887438644,0.47174867021284467,0.0012660213638600209
uniform,151,88,0.9,0.506,14,0.506,0.521245291562173,0.47036173447291924,0.0012681341420607561
per_target,151,93,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,8,0.5055000000000001,0.52146871109333,0.4708279020891009,0.0012902585143133361
uniform,151,93,1.5,0.5055,8,0.5055,0.52146871109333,0.47135567560516484,0.001294977063187928
uniform,151,88,1.3,0.5055,14,0.5055,0.5212299993306433,0.47109281289428534,0.001306057664117075
uniform,151,85,1.2,0.506,17,0.5059999999999999,0.5212167323054947,0.4709134923829755,0.0013063367798157044
uniform,151,95,0.9,0.505,6,0.505,0.5215221694111339,0.47043693468286957,0.0013147752021979314
uniform,151,88,0.8,0.5055,14,0.5055000000000001,0.5212491146200554,0.4701789648675778,0.0013153318214616566
uniform,151,91,1.5,0.5055,11,0.5055000000000001,0.5215076003086376,0.47141276886669214,0.0013172939913671448
uniform,151,88,1.3,,14,0.5055495066372154,0.5212299993306433,0.47109281289428534,0.0013196391309637993
uniform,151,88,0.8,,14,0.5055208974744083,0.5212491146200554,0.4701789648675778,0.0013213113347879443
per_target,151,90,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,12,0.5055,0.5212540656460066,0.4709935052903813,0.0013268513666957317
uniform,151,95,0.8,0.5055,6,0.5055,0.5214952282635762,0.47024580949864464,0.0013276231005870478
uniform,151,91,1.5,0.506,11,0.506,0.5215076003086376,0.47141276886669214,0.0013326121610696094
per_target,151,93,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,8,0.5056578544060756,0.52146871109333,0.4708279020891009,0.001339151471947381
per_target,151,95,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,6,0.5055000000000001,0.5215491105586917,0.47062805986709444,0.001340279613422419
uniform,151,85,0.8,0.505,17,0.5050000000000001,0.521237721231368,0.4701812642635989,0.0013406281373847437
